,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More
85,TX,Armstrong,1901,1900.999997,1900.999997,1896.207974,201.8993181
86,ME,Aroostook,71870,58037.997820000004,47164.69513,6805.152293000001,497.47554569999994
87,NE,Arthur,460,460.00000439999997,460.00000439999997,460.00000439999997,456.2348236
88,LA,Ascension,107215,97010.99522000001,70228.12194,0.0,0.0
89,NC,Ashe,27281,25631.95467,22828.005090000002,1381.2215800000001,0.0
90,OH,Ashland,53139,42687.68263,31958.30381,0.0,0.0
91,WI,Ashland,16157,13246.630079999999,9073.481045999999,4176.469801,291.4238791
92,AR,Ashley,21853,17825.83061,12761.777540000001,2666.456939,0.0
93,OH,Ashtabula,101497,86682.39772000001,63877.66617999999,0.0,0.0
94,WA,Asotin,21623,14802.40949,5849.085478,568.102525,177.6674561
95,LA,Assumption,23421,22043.80646,19699.4077,4351.183422,0.0
96,TX,Atascosa,44911,40367.6191,32821.88442,3101.989808,24.0624398
97,KS,Atchison,16924,14659.834680000002,8524.553862,1449.238001,0.0
98,MO,Atchison,5685,4616.01265,2821.475291,297.7280279,0.0
99,OH,Athens,64757,57012.142439999996,40286.18082,2137.009538,0.0
100,GA,Atkinson,8375,7653.515684999999,6832.723268000001,1925.072136,0.0
101,NJ,Atlantic,274549,223226.7215,153364.9731,713.6533303,0.0
102,OK,Atoka,14182,13057.138079999999,11826.06432,5911.026462,96.78818288
103,MS,Attala,19564,17049.47017,12593.68961,1561.578419,0.0
104,MO,Audrain,25529,21978.19041,15347.841059999999,1240.488161,0.0
105,IA,Audubon,6119,5814.345749,4300.530877,253.6937591,0.0
106,OH,Auglaize,45949,34826.73652,20455.7835,0.0,0.0
107,VA,Augusta,73750,69474.28278,60913.19365,1863.442304,0.0
108,SD,Aurora,2710,2710.000009,2710.000009,2706.276304,2210.8815440000003
109,TX,Austin,28417,25572.43386,20356.01353,2352.890652,0.0
110,AL,Autauga,54571,49228.23074,37255.07037,7176.981470000001,0.0
111,NC,Avery,17797,16535.50377,14766.231280000002,0.0,0.0
112,LA,Avoyelles,42073,39163.93955,32935.58034,2026.315218,0.0
113,CO,Baca,3788,2514.587735,1554.008213,955.2245047,297.68013010000004
114,GA,Bacon,11096,10161.36529,8146.7928870000005,353.8613069,0.0
115,TX,Bailey,7165,5124.393228,2307.116891,465.23061960000007,10.93338535
116,FL,Baker,27115,25974.84395,23365.02642,4546.891454,50.108892600000004
117,GA,Baker,3451,3451.000003,3451.000003,2651.7137199999997,0.0
118,OR,Baker,16134,13477.253530000002,8685.469134,3915.38745,2110.553775
119,AL,Baldwin,182265,166758.5654,138070.7997,3265.003813,5.51966776
120,GA,Baldwin,45720,40146.77715,29461.53435,61.10302263,0.0
121,KY,Ballard,8249,7746.254402,7373.238878,498.5704928,0.0
122,MD,Baltimore City,620961,248280.0,20622.0,0.0,0.0
123,MD,Baltimore,805029,548047.0,217512.0,0.0,0.0
124,SC,Bamberg,15987,13854.32535,10060.09025,365.435399,0.0
125,TX,Bandera,20485,19490.90089,18031.39043,2576.3309600000002,714.1373244
126,GA,Banks,18395,18390.95539,18287.83269,1151.995872,0.0
127,NE,Banner,690,690.0000065,690.0000065,690.0000065,298.8344791
128,ID,Bannock,82839,67179.69764,35788.283339999994,4805.948772,8.597324137000001
129,MI,Baraga,8860,7198.563270999999,5726.576271,1320.476202,108.1623684
130,KS,Barber,4861,2710.4603620000003,1820.544332,555.5888692000001,10.73083364
131,AL,Barbour,27457,23170.342630000003,18180.53746,5311.901182,0.0
132,WV,Barbour,16589,14807.292159999999,12002.8304,118.98922490000001,0.0
133,ND,Barnes,11066,7343.080054999999,4856.1092149999995,2905.78699,663.9150002
134,MA,Barnstable,215888,186894.4587,133268.7479,0.0,0.0
135,SC,Barnwell,22621,18868.38231,15306.99154,6.581392538999999,0.0
136,KY,Barren,42173,33007.25078,26399.89196,2135.120609,0.0
137,WI,Barron,45870,38962.15294,29829.00053,1747.053721,0.0
138,GA,Barrow,69367,62170.24748,50700.39452,0.0,0.0
139,MI,Barry,59173,53478.86557,46058.78204,14.36728034,0.0
140,MO,Barry,35597,32412.744880000002,26516.063830000003,169.795879,0.0
141,IN,Bartholomew,76794,65072.85491,43108.56236,1120.476122,0.0
142,KS,Barton,27674,21258.21868,12277.091359999999,2921.594357,0.0
143,MO,Barton,12402,11171.118129999999,8526.042889,1928.468037,0.0
144,GA,Bartow,100157,94356.03049,80764.77283,0.0,0.0
145,TX,Bastrop,74171,72505.46136,68625.88662,16660.85794,0.0
146,MO,Bates,17049,14709.025930000002,10304.616820000001,700.1514030000001,0.0
147,KY,Bath,11591,10850.20852,10147.76734,15.52776955,0.0
148,VA,Bath,4731,4587.298691,4434.722963,979.461274,0.0
149,AR,Baxter,41513,37690.77643,29704.65757,859.7429558,0.0
150,FL,Bay,168852,136710.5309,82480.92792999999,6062.373209,0.0
151,MI,Bay,107771,85375.67709,51422.80927,63.49554358,0.0
152,WI,Bayfield,15014,13077.67567,11825.009479999999,3779.529282,28.44415036
153,TX,Baylor,3726,2619.272393,1176.336381,277.24310410000004,0.0335159
154,SD,Beadle,17398,13735.43929,6275.847173,2621.720192,165.30663930000003
155,ID,Bear Lake,5986,4978.9698020000005,3583.141083,1549.173696,262.1379204
156,NC,Beaufort,47759,41904.39744,33496.96194,2153.615511,0.0
157,SC,Beaufort,162233,140386.7124,103205.1033,795.1652288,0.0
158,LA,Beauregard,35654,32475.01389,28167.45201,12284.16365,0.0
159,OK,Beaver,5636,4997.827589,4054.244614,2220.235184,136.24622130000003
160,PA,Beaver,170539,148921.7514,114381.5972,0.0,0.0
161,UT,Beaver,6629,4309.114611,2596.233522,953.7734740000001,3.999999864
162,MT,Beaverhead,9246,6357.1268039999995,4918.086806,1707.3894050000001,1442.866964
163,MN,Becker,32504,30393.55888,26510.25244,10069.24357,328.35927680000003
164,OK,Beckham,22119,17779.66302,9135.84082,442.5130494,0.0
165,VA,Bedford City,6222,3937.3267450000003,582.8775829,0.0,0.0
166,PA,Bedford,49762,45769.15041,40660.09695,5076.635824,0.0
167,TN,Bedford,45058,38835.615,31132.82875,900.5387333999998,0.0
168,VA,Bedford,68676,66984.90211,61009.2756,1076.3973740000001,0.0
169,TX,Bee,31861,29568.516539999997,20793.64373,3701.920073,0.0
170,NH,Belknap,60088,54795.0331,47599.84164,0.0,0.0
171,KY,Bell,28691,25497.77006,20663.55818,1138.0074630000001,0.0
172,TX,Bell,310235,276583.7374,205876.335,5720.97372,0.0
173,OH,Belmont,70400,60772.78269,44312.45175,272.2818601,0.0
174,MN,Beltrami,44442,39106.27108,31980.78121,5699.298925,476.7960351
175,GA,Ben Hill,17634,15058.85358,10908.33808,397.2490869,0.0
176,ID,Benewah,9285,7187.629976,5761.371065,2150.7662219999997,0.0
177,SD,Bennett,3431,3431.000035,3431.000035,3319.803232,2392.177141
178,VT,Bennington,37125,31218.105539999997,25443.64804,131.26805339999999,0.0
179,ND,Benson,6660,6660.000007,6659.3535600000005,3053.708498,1570.688519
180,CO,Bent,6499,5571.79551,3678.6720149999996,808.0980985,54.04345628
181,AR,Benton,221339,197109.167,140084.5591,691.4339480000001,0.0
182,IA,Benton,26076,21767.90259,18719.17238,3719.228693,0.0
183,IN,Benton,8854,6578.470176,4720.150252,106.0409604,0.0
184,MN,Benton,38451,34667.78037,24526.2521,1171.321871,0.0
185,MO,Benton,19056,17722.81093,15577.383880000001,1199.074469,0.0
186,MS,Benton,8729,8483.255395999999,8110.155131999999,3094.872327,0.0
187,OR,Benton,85579,55760.4711,32068.00394,2705.6300530000003,50.96716611
188,TN,Benton,16489,14929.07775,12440.55986,1165.546543,0.0
189,WA,Benton,175177,121806.0182,64008.697210000006,294.8490685,0.21057924100000003
190,MI,Benzie,17525,16283.65118,14458.259419999998,0.0,0.0
191,NJ,Bergen,905116,485219.1354,109962.6335,0.0,0.0
192,SC,Berkeley,177843,152337.5831,96080.83464,7936.7836959999995,35.68999457
193,WV,Berkeley,104169,95609.68527999999,76421.45188,0.0,0.0
194,PA,Berks,411442,277902.3488,169723.0724,0.0,0.0
195,MA,Berkshire,131219,101419.4619,70212.51606000001,2572.633927,0.0
196,NM,Bernalillo,662564,452451.0681,179965.7425,3592.679118,0.0
197,GA,Berrien,19286,17900.76006,15445.331180000001,2159.543257,0.0
198,MI,Berrien,156813,129926.9414,84650.91868999999,0.0,0.0
199,NC,Bertie,21282,20678.91679,19860.49025,1876.1414920000002,0.0
200,AK,Bethel,17013,16866.804219999998,16610.768119999997,9611.408364,7511.774511
201,TX,Bexar,1714773,1397828.639,744590.0867,10412.62906,0.0
202,AL,Bibb,22915,21631.40285,18058.80499,293.57077069999997,0.0
203,GA,Bibb,155547,126422.2553,61870.23431,0.0,0.0
204,LA,Bienville,14353,13509.067030000002,11592.72541,2943.833027,0.0
