,State,County,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
549,GA,Ware,"14,488","13,546",942,7.0
550,GA,Warren,"2,640","2,434",206,8.0
551,GA,Washington,"7,198","6,695",503,7.0
552,GA,Wayne,"11,568","10,731",837,7.0
553,GA,Webster,968,877,91,9.0
554,GA,Wheeler,"1,694","1,510",184,11.0
555,GA,White,"13,785","13,071",714,5.0
556,GA,Whitfield,"45,601","42,690","2,911",6.0
557,GA,Wilcox,"2,743","2,528",215,8.0
558,GA,Wilkes,"3,890","3,609",281,7.0
559,GA,Wilkinson,"3,603","3,340",263,7.0
560,GA,Worth,"8,845","8,272",573,7.0
562,HI,Hawaii,"88,719","84,812","3,907",4.0
563,HI,Honolulu,"467,705","452,091","15,614",3.0
564,HI,Kauai,"35,153","33,738","1,415",4.0
565,HI,Maui,"83,930","80,819","3,111",4.0
567,ID,Ada,"217,052","209,058","7,994",4.0
568,ID,Adams,"1,715","1,583",132,8.0
569,ID,Bannock,"41,861","40,167","1,694",4.0
570,ID,Bear,"2,828","2,700",128,5.0
571,ID,Benewah,"4,035","3,767",268,7.0
572,ID,Bingham,"22,039","21,126",913,4.0
573,ID,Blaine,"11,815","11,391",424,4.0
574,ID,Boise,"3,050","2,855",195,6.0
575,ID,Bonner,"18,525","17,405","1,120",6.0
576,ID,Bonneville,"50,961","49,163","1,798",4.0
577,ID,Boundary,"5,088","4,805",283,6.0
578,ID,Butte,"1,276","1,218",58,5.0
579,ID,Camas,648,625,23,4.0
580,ID,Canyon,"90,939","86,342","4,597",5.0
581,ID,Caribou,"3,762","3,606",156,4.0
582,ID,Cassia,"11,452","11,064",388,3.0
583,ID,Clark,395,380,15,4.0
584,ID,Clearwater,"3,085","2,834",251,8.0
585,ID,Custer,"2,129","1,986",143,7.0
586,ID,Elmore,"10,734","10,222",512,5.0
587,ID,Franklin,"6,447","6,243",204,3.0
588,ID,Fremont,"7,170","6,907",263,4.0
589,ID,Gem,"7,530","7,128",402,5.0
590,ID,Gooding,"7,995","7,715",280,4.0
591,ID,Idaho,"6,396","5,993",403,6.0
592,ID,Jefferson,"12,459","12,028",431,4.0
593,ID,Jerome,"11,458","11,079",379,3.0
594,ID,Kootenai,"71,550","67,880","3,670",5.0
595,ID,Latah,"19,460","18,779",681,4.0
596,ID,Lemhi,"3,376","3,137",239,7.0
597,ID,Lewis,"1,590","1,498",92,6.0
598,ID,Lincoln,"2,639","2,518",121,5.0
599,ID,Madison,"19,755","19,217",538,3.0
600,ID,Minidoka,"10,677","10,280",397,4.0
601,ID,Nez,"20,605","19,831",774,4.0
602,ID,Oneida,"2,124","2,048",76,4.0
603,ID,Owyhee,"5,211","4,958",253,5.0
604,ID,Payette,"11,092","10,535",557,5.0
605,ID,Power,"3,874","3,691",183,5.0
606,ID,Shoshone,"5,126","4,722",404,8.0
607,ID,Teton,"5,819","5,616",203,4.0
608,ID,Twin,"39,586","38,126","1,460",4.0
609,ID,Valley,"4,790","4,492",298,6.0
610,ID,Washington,"4,564","4,295",269,6.0
612,IL,Adams,"32,515","30,895","1,620",5.0
613,IL,Alexander,"2,291","2,081",210,9.0
614,IL,Bond,"7,779","7,366",413,5.0
615,IL,Boone,"26,333","24,616","1,717",7.0
616,IL,Brown,"2,777","2,678",99,4.0
617,IL,Bureau,"17,105","16,005","1,100",6.0
618,IL,Calhoun,"2,341","2,183",158,7.0
619,IL,Carroll,"7,934","7,501",433,6.0
620,IL,Cass,"6,446","6,082",364,6.0
621,IL,Champaign,"104,621","99,199","5,422",5.0
622,IL,Christian,"15,458","14,441","1,017",7.0
623,IL,Clark,"8,078","7,576",502,6.0
624,IL,Clay,"6,616","6,147",469,7.0
625,IL,Clinton,"20,073","19,168",905,5.0
626,IL,Coles,"24,079","22,622","1,457",6.0
627,IL,Cook,"2,648,861","2,484,494","164,367",6.0
628,IL,Crawford,"9,629","9,059",570,6.0
629,IL,Cumberland,"5,904","5,593",311,5.0
630,IL,DeKalb,"54,601","51,549","3,052",6.0
631,IL,De,"7,931","7,489",442,6.0
632,IL,Douglas,"10,082","9,586",496,5.0
633,IL,DuPage,"512,100","487,789","24,311",5.0
634,IL,Edgar,"9,428","8,839",589,6.0
635,IL,Edwards,"2,943","2,768",175,6.0
636,IL,Effingham,"18,410","17,527",883,5.0
637,IL,Fayette,"9,698","9,060",638,7.0
638,IL,Ford,"6,508","6,156",352,5.0
639,IL,Franklin,"16,482","15,150","1,332",8.0
640,IL,Fulton,"15,785","14,582","1,203",8.0
641,IL,Gallatin,"2,465","2,300",165,7.0
642,IL,Greene,"6,045","5,674",371,6.0
643,IL,Grundy,"25,486","23,722","1,764",7.0
644,IL,Hamilton,"4,375","4,135",240,6.0
645,IL,Hancock,"8,910","8,359",551,6.0
646,IL,Hardin,"1,527","1,398",129,8.0
647,IL,Henderson,"3,748","3,523",225,6.0
648,IL,Henry,"25,072","23,532","1,540",6.0
649,IL,Iroquois,"14,823","13,985",838,6.0
650,IL,Jackson,"28,620","27,029","1,591",6.0
651,IL,Jasper,"4,638","4,349",289,6.0
652,IL,Jefferson,"17,168","16,008","1,160",7.0
653,IL,Jersey,"11,074","10,372",702,6.0
654,IL,Jo,"11,447","10,820",627,6.0
655,IL,Johnson,"4,133","3,780",353,9.0
656,IL,Kane,"267,465","252,049","15,416",6.0
657,IL,Kankakee,"55,189","51,470","3,719",7.0
658,IL,Kendall,"66,278","62,846","3,432",5.0
659,IL,Knox,"23,199","21,787","1,412",6.0
660,IL,Lake,"367,049","347,276","19,773",5.0
661,IL,LaSalle,"57,378","53,378","4,000",7.0
662,IL,Lawrence,"6,142","5,706",436,7.0
663,IL,Lee,"17,839","16,887",952,5.0
664,IL,Livingston,"17,243","16,315",928,5.0
665,IL,Logan,"13,008","12,305",703,5.0
666,IL,McDonough,"14,066","13,210",856,6.0
667,IL,McHenry,"165,957","156,973","8,984",5.0
668,IL,McLean,"90,841","86,482","4,359",5.0
669,IL,Macon,"50,527","46,989","3,538",7.0
670,IL,Macoupin,"23,044","21,587","1,457",6.0
671,IL,Madison,"132,970","124,983","7,987",6.0
672,IL,Marion,"18,088","16,865","1,223",7.0
673,IL,Marshall,"5,708","5,330",378,7.0
674,IL,Mason,"6,607","6,136",471,7.0
675,IL,Massac,"6,107","5,664",443,7.0
676,IL,Menard,"6,738","6,421",317,5.0
677,IL,Mercer,"8,192","7,679",513,6.0
678,IL,Monroe,"18,090","17,298",792,4.0
679,IL,Montgomery,"12,036","11,126",910,8.0
680,IL,Morgan,"16,978","16,129",849,5.0
681,IL,Moultrie,"7,362","7,041",321,4.0
682,IL,Ogle,"25,909","24,311","1,598",6.0
683,IL,Peoria,"89,973","83,805","6,168",7.0
684,IL,Perry,"8,854","8,223",631,7.0
685,IL,Piatt,"8,345","7,925",420,5.0
686,IL,Pike,"7,612","7,218",394,5.0
687,IL,Pope,"1,768","1,644",124,7.0
688,IL,Pulaski,"2,089","1,904",185,9.0
689,IL,Putnam,"3,040","2,852",188,6.0
690,IL,Randolph,"14,299","13,523",776,5.0
691,IL,Richland,"7,461","7,024",437,6.0
692,IL,Rock,"72,233","67,608","4,625",6.0
693,IL,St.,"126,135","117,831","8,304",7.0
694,IL,Saline,"10,344","9,544",800,8.0
695,IL,Sangamon,"105,388","99,920","5,468",5.0
696,IL,Schuyler,"3,481","3,278",203,6.0
697,IL,Scott,"2,556","2,407",149,6.0
698,IL,Shelby,"10,226","9,624",602,6.0
699,IL,Stark,"2,761","2,578",183,7.0
700,IL,Stephenson,"21,537","20,115","1,422",7.0
701,IL,Tazewell,"66,832","62,647","4,185",6.0
702,IL,Union,"7,352","6,787",565,8.0
703,IL,Vermilion,"35,440","32,934","2,506",7.0
704,IL,Wabash,"5,620","5,303",317,6.0
705,IL,Warren,"8,563","8,116",447,5.0
706,IL,Washington,"9,352","8,998",354,4.0
707,IL,Wayne,"7,498","6,982",516,7.0
708,IL,White,"6,926","6,529",397,6.0
709,IL,Whiteside,"28,506","26,743","1,763",6.0
710,IL,Will,"357,074","335,079","21,995",6.0
711,IL,Williamson,"31,915","29,942","1,973",6.0
712,IL,Winnebago,"142,138","132,182","9,956",7.0
713,IL,Woodford,"19,571","18,579",992,5.0
715,IN,Adams,"16,900","16,254",646,4.0
716,IN,Allen,"178,025","169,826","8,199",5.0
717,IN,Bartholomew,"43,580","42,004","1,576",4.0
718,IN,Benton,"4,578","4,373",205,5.0
719,IN,Blackford,"5,242","4,926",316,6.0
720,IN,Boone,"33,494","32,258","1,236",4.0
721,IN,Brown,"7,443","7,087",356,5.0
722,IN,Carroll,"10,022","9,587",435,4.0
723,IN,Cass,"17,760","16,944",816,5.0
724,IN,Clark,"58,893","56,244","2,649",5.0
725,IN,Clay,"12,368","11,713",655,5.0
726,IN,Clinton,"16,919","16,238",681,4.0
727,IN,Crawford,"4,918","4,621",297,6.0
728,IN,Daviess,"15,695","15,101",594,4.0
729,IN,Dearborn,"25,214","23,920","1,294",5.0
730,IN,Decatur,"14,293","13,711",582,4.0
731,IN,DeKalb,"21,784","20,887",897,4.0
732,IN,Delaware,"54,442","51,339","3,103",6.0
733,IN,Dubois,"22,675","21,906",769,3.0
734,IN,Elkhart,"104,716","100,644","4,072",4.0
735,IN,Fayette,"8,990","8,399",591,7.0
736,IN,Floyd,"39,932","38,222","1,710",4.0
737,IN,Fountain,"8,049","7,572",477,6.0
738,IN,Franklin,"11,387","10,809",578,5.0
739,IN,Fulton,"9,862","9,389",473,5.0
740,IN,Gibson,"18,860","18,143",717,4.0
741,IN,Grant,"32,522","30,760","1,762",5.0
742,IN,Greene,"13,754","12,808",946,7.0
743,IN,Hamilton,"167,234","161,577","5,657",3.0
744,IN,Hancock,"37,370","35,792","1,578",4.0
745,IN,Harrison,"19,417","18,527",890,5.0
746,IN,Hendricks,"82,861","79,688","3,173",4.0
747,IN,Henry,"21,664","20,511","1,153",5.0
748,IN,Howard,"36,987","35,140","1,847",5.0
749,IN,Huntington,"18,641","17,825",816,4.0
750,IN,Jackson,"21,786","20,918",868,4.0
751,IN,Jasper,"16,357","15,405",952,6.0
752,IN,Jay,"9,946","9,449",497,5.0
753,IN,Jefferson,"15,326","14,583",743,5.0
754,IN,Jennings,"13,167","12,491",676,5.0
755,IN,Johnson,"77,588","74,422","3,166",4.0
756,IN,Knox,"19,027","18,154",873,5.0
757,IN,Kosciusko,"40,662","39,008","1,654",4.0
758,IN,LaGrange,"18,900","18,209",691,4.0
759,IN,Lake,"229,689","214,013","15,676",7.0
760,IN,LaPorte,"48,522","45,477","3,045",6.0
761,IN,Lawrence,"20,278","18,949","1,329",7.0
762,IN,Madison,"58,222","54,917","3,305",6.0
763,IN,Marion,"472,332","448,369","23,963",5.0
764,IN,Marshall,"24,009","23,006","1,003",4.0
765,IN,Martin,"5,047","4,834",213,4.0
766,IN,Miami,"15,751","14,931",820,5.0
767,IN,Monroe,"67,370","64,057","3,313",5.0
768,IN,Montgomery,"19,266","18,496",770,4.0
769,IN,Morgan,"35,368","33,702","1,666",5.0
770,IN,Newton,"6,961","6,556",405,6.0
771,IN,Noble,"23,651","22,642","1,009",4.0
772,IN,Ohio,"3,179","3,003",176,6.0
773,IN,Orange,"8,725","8,205",520,6.0
774,IN,Owen,"9,285","8,700",585,6.0
775,IN,Parke,"7,053","6,654",399,6.0
776,IN,Perry,"9,231","8,796",435,5.0
777,IN,Pike,"6,189","5,919",270,4.0
778,IN,Porter,"84,691","80,142","4,549",5.0
779,IN,Posey,"13,299","12,771",528,4.0
780,IN,Pulaski,"6,274","5,990",284,5.0
781,IN,Putnam,"16,401","15,562",839,5.0
782,IN,Randolph,"12,686","12,056",630,5.0
783,IN,Ripley,"13,634","12,903",731,5.0
784,IN,Rush,"8,838","8,456",382,4.0
785,IN,St.,"130,406","123,843","6,563",5.0
786,IN,Scott,"10,286","9,726",560,5.0
787,IN,Shelby,"22,626","21,619","1,007",5.0
788,IN,Spencer,"10,974","10,520",454,4.0
789,IN,Starke,"10,548","9,921",627,6.0
790,IN,Steuben,"19,981","19,199",782,4.0
791,IN,Sullivan,"8,658","8,118",540,6.0
792,IN,Switzerland,"4,854","4,613",241,5.0
793,IN,Tippecanoe,"93,117","89,165","3,952",4.0
794,IN,Tipton,"8,382","8,046",336,4.0
795,IN,Union,"3,561","3,402",159,5.0
796,IN,Vanderburgh,"92,238","88,302","3,936",4.0
797,IN,Vermillion,"7,226","6,711",515,7.0
798,IN,Vigo,"48,986","45,981","3,005",6.0
799,IN,Wabash,"15,387","14,650",737,5.0
800,IN,Warren,"4,097","3,894",203,5.0
801,IN,Warrick,"31,754","30,463","1,291",4.0
802,IN,Washington,"13,526","12,824",702,5.0
803,IN,Wayne,"30,648","29,016","1,632",5.0
804,IN,Wells,"14,038","13,487",551,4.0
805,IN,White,"13,610","13,057",553,4.0
806,IN,Whitley,"17,019","16,319",700,4.0
808,IA,Adair,"4,226","4,089",137,3.0
809,IA,Adams,"2,292","2,227",65,3.0
810,IA,Allamakee,"7,703","7,325",378,5.0
811,IA,Appanoose,"6,228","5,920",308,5.0
812,IA,Audubon,"3,239","3,110",129,4.0
813,IA,Benton,"13,780","13,240",540,4.0
814,IA,Black,"70,545","67,294","3,251",5.0
815,IA,Boone,"15,322","14,856",466,3.0
816,IA,Bremer,"13,978","13,483",495,4.0
817,IA,Buchanan,"11,322","10,837",485,4.0
818,IA,Buena,"11,590","11,163",427,4.0
819,IA,Butler,"8,285","7,920",365,4.0
820,IA,Calhoun,"4,459","4,265",194,4.0
821,IA,Carroll,"11,310","11,012",298,3.0
822,IA,Cass,"7,461","7,189",272,4.0
823,IA,Cedar,"10,992","10,612",380,4.0
824,IA,Cerro,"23,023","22,108",915,4.0
825,IA,Cherokee,"6,346","6,015",331,5.0
826,IA,Chickasaw,"6,460","6,167",293,5.0
827,IA,Clarke,"4,772","4,575",197,4.0
828,IA,Clay,"8,856","8,533",323,4.0
829,IA,Clayton,"10,299","9,869",430,4.0
830,IA,Clinton,"24,432","23,202","1,230",5.0
831,IA,Crawford,"8,754","8,386",368,4.0
832,IA,Dallas,"43,706","42,445","1,261",3.0
833,IA,Davis,"4,179","3,992",187,5.0
834,IA,Decatur,"4,431","4,285",146,3.0
835,IA,Delaware,"10,692","10,328",364,3.0
836,IA,Des,"20,532","19,556",976,5.0
837,IA,Dickinson,"10,217","9,817",400,4.0
838,IA,Dubuque,"55,757","53,701","2,056",4.0
839,IA,Emmet,"5,667","5,455",212,4.0
840,IA,Fayette,"10,821","10,327",494,5.0
841,IA,Floyd,"8,707","8,376",331,4.0
842,IA,Franklin,"5,962","5,761",201,3.0
843,IA,Fremont,"4,152","4,014",138,3.0
844,IA,Greene,"5,573","5,376",197,4.0
845,IA,Grundy,"6,736","6,479",257,4.0
846,IA,Guthrie,"5,625","5,412",213,4.0
847,IA,Hamilton,"7,235","6,925",310,4.0
848,IA,Hancock,"6,370","6,196",174,3.0
849,IA,Hardin,"8,821","8,470",351,4.0
850,IA,Harrison,"7,544","7,286",258,3.0
851,IA,Henry,"9,604","9,226",378,4.0
852,IA,Howard,"5,379","5,185",194,4.0
853,IA,Humboldt,"5,346","5,167",179,3.0
854,IA,Ida,"3,963","3,839",124,3.0
855,IA,Iowa,"10,390","10,023",367,4.0
856,IA,Jackson,"11,173","10,700",473,4.0
857,IA,Jasper,"19,119","18,371",748,4.0
858,IA,Jefferson,"9,157","8,803",354,4.0
859,IA,Johnson,"83,940","81,687","2,253",3.0
860,IA,Jones,"10,789","10,335",454,4.0
861,IA,Keokuk,"5,428","5,195",233,4.0
862,IA,Kossuth,"8,839","8,585",254,3.0
863,IA,Lee,"18,283","17,293",990,5.0
864,IA,Linn,"120,278","115,690","4,588",4.0
865,IA,Louisa,"6,029","5,799",230,4.0
866,IA,Lucas,"4,405","4,248",157,4.0
867,IA,Lyon,"7,068","6,925",143,2.0
868,IA,Madison,"8,241","7,916",325,4.0
869,IA,Mahaska,"11,844","11,372",472,4.0
870,IA,Marion,"17,446","16,871",575,3.0
871,IA,Marshall,"19,452","18,459",993,5.0
872,IA,Mills,"7,430","7,125",305,4.0
873,IA,Mitchell,"5,599","5,440",159,3.0
874,IA,Monona,"4,766","4,555",211,4.0
875,IA,Monroe,"4,040","3,860",180,5.0
876,IA,Montgomery,"5,174","4,989",185,4.0
877,IA,Muscatine,"22,230","21,365",865,4.0
878,IA,O'Brien,"8,436","8,196",240,3.0
879,IA,Osceola,"3,547","3,445",102,3.0
880,IA,Page,"6,576","6,302",274,4.0
881,IA,Palo,"4,868","4,717",151,3.0
882,IA,Plymouth,"14,801","14,381",420,3.0
883,IA,Pocahontas,"4,313","4,181",132,3.0
884,IA,Polk,"255,841","246,362","9,479",4.0
885,IA,Pottawattamie,"49,037","47,229","1,808",4.0
886,IA,Poweshiek,"10,517","10,134",383,4.0
887,IA,Ringgold,"2,569","2,482",87,3.0
888,IA,Sac,"5,646","5,457",189,3.0
889,IA,Scott,"87,585","83,448","4,137",5.0
890,IA,Shelby,"7,023","6,821",202,3.0
891,IA,Sioux,"20,773","20,259",514,3.0
892,IA,Story,"57,467","56,021","1,446",3.0
893,IA,Tama,"9,676","9,251",425,4.0
894,IA,Taylor,"3,241","3,138",103,3.0
895,IA,Union,"6,581","6,304",277,4.0
896,IA,Van,"3,844","3,687",157,4.0
897,IA,Wapello,"18,026","17,091",935,5.0
898,IA,Warren,"26,728","25,806",922,3.0
899,IA,Washington,"12,400","12,010",390,3.0
900,IA,Wayne,"2,852","2,739",113,4.0
901,IA,Webster,"20,370","19,485",885,4.0
902,IA,Winnebago,"5,174","4,967",207,4.0
903,IA,Winneshiek,"12,237","11,786",451,4.0
904,IA,Woodbury,"56,239","54,102","2,137",4.0
905,IA,Worth,"4,231","4,061",170,4.0
906,IA,Wright,"6,913","6,641",272,4.0
908,KS,Allen,"6,606","6,268",338,5.0
909,KS,Anderson,"4,135","3,935",200,5.0
910,KS,Atchison,"7,470","7,012",458,6.0
911,KS,Barber,"2,662","2,549",113,4.0
912,KS,Barton,"14,591","13,976",615,4.0
913,KS,Bourbon,"7,119","6,778",341,5.0
914,KS,Brown,"5,355","5,142",213,4.0
915,KS,Butler,"32,035","30,671","1,364",4.0
916,KS,Chase,"1,252","1,207",45,4.0
917,KS,Chautauqua,"1,551","1,463",88,6.0
918,KS,Cherokee,"10,414","9,952",462,4.0
919,KS,Cheyenne,"1,358","1,321",37,3.0
920,KS,Clark,"1,159","1,131",28,2.0
921,KS,Clay,"4,117","3,941",176,4.0
922,KS,Cloud,"4,312","4,148",164,4.0
923,KS,Coffey,"4,741","4,470",271,6.0
924,KS,Comanche,992,959,33,3.0
925,KS,Cowley,"17,042","16,263",779,5.0
926,KS,Crawford,"18,928","17,964",964,5.0
927,KS,Decatur,"1,351","1,301",50,4.0
928,KS,Dickinson,"9,520","9,028",492,5.0
929,KS,Doniphan,"4,319","4,132",187,4.0
930,KS,Douglas,"64,763","62,375","2,388",4.0
931,KS,Edwards,"1,749","1,696",53,3.0
932,KS,Elk,"1,280","1,219",61,5.0
933,KS,Ellis,"17,522","16,999",523,3.0
934,KS,Ellsworth,"2,939","2,831",108,4.0
935,KS,Finney,"20,130","19,421",709,4.0
936,KS,Ford,"18,062","17,449",613,3.0
937,KS,Franklin,"14,102","13,457",645,5.0
938,KS,Geary,"12,111","11,361",750,6.0
939,KS,Gove,"1,487","1,450",37,3.0
940,KS,Graham,"1,272","1,222",50,4.0
941,KS,Grant,"3,902","3,762",140,4.0
942,KS,Gray,"3,601","3,518",83,2.0
943,KS,Greeley,935,915,20,2.0
944,KS,Greenwood,"3,289","3,139",150,5.0
945,KS,Hamilton,"1,652","1,620",32,2.0
946,KS,Harper,"2,855","2,744",111,4.0
947,KS,Harvey,"17,208","16,538",670,4.0
948,KS,Haskell,"2,358","2,299",59,3.0
949,KS,Hodgeman,"1,027",995,32,3.0
950,KS,Jackson,"7,240","6,972",268,4.0
951,KS,Jefferson,"10,187","9,761",426,4.0
952,KS,Jewell,"1,374","1,314",60,4.0
953,KS,Johnson,"324,703","313,723","10,980",3.0
954,KS,Kearny,"2,148","2,081",67,3.0
955,KS,Kingman,"3,649","3,491",158,4.0
956,KS,Kiowa,"1,448","1,405",43,3.0
957,KS,Labette,"10,753","10,137",616,6.0
958,KS,Lane,878,849,29,3.0
959,KS,Leavenworth,"35,272","33,686","1,586",5.0
960,KS,Lincoln,"1,798","1,736",62,3.0
961,KS,Linn,"4,328","4,051",277,6.0
962,KS,Logan,"1,756","1,713",43,2.0
963,KS,Lyon,"16,637","15,924",713,4.0
964,KS,McPherson,"17,183","16,670",513,3.0
965,KS,Marion,"6,163","5,930",233,4.0
966,KS,Marshall,"5,735","5,568",167,3.0
967,KS,Meade,"2,419","2,347",72,3.0
968,KS,Miami,"16,757","16,032",725,4.0
969,KS,Mitchell,"3,775","3,650",125,3.0
970,KS,Montgomery,"16,577","15,507","1,070",7.0
971,KS,Morris,"3,105","2,972",133,4.0
972,KS,Morton,"1,436","1,376",60,4.0
973,KS,Nemaha,"5,939","5,787",152,3.0
974,KS,Neosho,"6,269","5,803",466,7.0
975,KS,Ness,"1,538","1,487",51,3.0
976,KS,Norton,"2,950","2,877",73,3.0
977,KS,Osage,"8,057","7,656",401,5.0
978,KS,Osborne,"2,091","2,018",73,4.0
979,KS,Ottawa,"3,230","3,108",122,4.0
980,KS,Pawnee,"3,307","3,184",123,4.0
981,KS,Phillips,"2,954","2,860",94,3.0
982,KS,Pottawatomie,"11,955","11,519",436,4.0
983,KS,Pratt,"5,290","5,077",213,4.0
984,KS,Rawlins,"1,535","1,500",35,2.0
985,KS,Reno,"30,842","29,515","1,327",4.0
986,KS,Republic,"2,590","2,519",71,3.0
987,KS,Rice,"5,478","5,271",207,4.0
988,KS,Riley,"35,632","34,416","1,216",3.0
989,KS,Rooks,"2,810","2,681",129,5.0
990,KS,Rush,"1,795","1,732",63,4.0
991,KS,Russell,"3,733","3,594",139,4.0
992,KS,Saline,"30,872","29,712","1,160",4.0
993,KS,Scott,"2,885","2,806",79,3.0
994,KS,Sedgwick,"246,783","235,028","11,755",5.0
995,KS,Seward,"10,623","10,166",457,4.0
996,KS,Shawnee,"91,236","87,371","3,865",4.0
997,KS,Sheridan,"1,482","1,449",33,2.0
998,KS,Sherman,"3,090","3,001",89,3.0
999,KS,Smith,"2,094","2,013",81,4.0
1000,KS,Stafford,"2,182","2,095",87,4.0
1001,KS,Stanton,"1,061","1,029",32,3.0
1002,KS,Stevens,"3,178","3,060",118,4.0
1003,KS,Sumner,"11,079","10,587",492,4.0
1004,KS,Thomas,"4,415","4,299",116,3.0
1005,KS,Trego,"1,509","1,456",53,4.0
1006,KS,Wabaunsee,"3,732","3,589",143,4.0
1007,KS,Wallace,877,853,24,3.0
1008,KS,Washington,"3,129","3,031",98,3.0
1009,KS,Wichita,"1,255","1,218",37,3.0
1010,KS,Wilson,"4,008","3,745",263,7.0
1011,KS,Woodson,"1,611","1,530",81,5.0
1012,KS,Wyandotte,"76,154","71,583","4,571",6.0
1014,KY,Adair,"6,946","6,429",517,7.0
1015,KY,Allen,"8,589","8,168",421,5.0
1016,KY,Anderson,"11,200","10,733",467,4.0
1017,KY,Ballard,"3,604","3,357",247,7.0
1018,KY,Barren,"18,393","17,439",954,5.0
1019,KY,Bath,"4,713","4,352",361,8.0
1020,KY,Bell,"8,815","8,068",747,9.0
1021,KY,Boone,"64,971","62,311","2,660",4.0
1022,KY,Bourbon,"9,659","9,200",459,5.0
1023,KY,Boyd,"18,130","16,877","1,253",7.0
1024,KY,Boyle,"11,992","11,325",667,6.0
1025,KY,Bracken,"3,689","3,455",234,6.0
1026,KY,Breathitt,"3,990","3,615",375,9.0
1027,KY,Breckinridge,"7,912","7,440",472,6.0
1028,KY,Bullitt,"39,107","37,323","1,784",5.0
1029,KY,Butler,"5,046","4,747",299,6.0
1030,KY,Caldwell,"5,395","5,099",296,6.0
1031,KY,Calloway,"18,358","17,498",860,5.0
1032,KY,Campbell,"47,322","45,352","1,970",4.0
1033,KY,Carlisle,"2,315","2,184",131,6.0
1034,KY,Carroll,"4,957","4,681",276,6.0
1035,KY,Carter,"10,195","9,193","1,002",10.0
1036,KY,Casey,"6,690","6,315",375,6.0
1037,KY,Christian,"24,695","23,118","1,577",6.0
1038,KY,Clark,"16,732","15,856",876,5.0
1039,KY,Clay,"5,421","4,909",512,9.0
1040,KY,Clinton,"3,842","3,526",316,8.0
1041,KY,Crittenden,"3,823","3,617",206,5.0
1042,KY,Cumberland,"2,906","2,733",173,6.0
1043,KY,Daviess,"45,150","43,062","2,088",5.0
1044,KY,Edmonson,"4,640","4,312",328,7.0
1045,KY,Elliott,"2,121","1,912",209,10.0
1046,KY,Estill,"5,284","4,963",321,6.0
1047,KY,Fayette,"166,522","160,099","6,423",4.0
1048,KY,Fleming,"6,236","5,853",383,6.0
1049,KY,Floyd,"11,913","10,819","1,094",9.0
1050,KY,Franklin,"24,018","22,986","1,032",4.0
1051,KY,Fulton,"2,082","1,923",159,8.0
1052,KY,Gallatin,"3,804","3,607",197,5.0
1053,KY,Garrard,"7,609","7,222",387,5.0
1054,KY,Grant,"10,979","10,391",588,5.0
1055,KY,Graves,"15,388","14,451",937,6.0
1056,KY,Grayson,"10,677","9,972",705,7.0
1057,KY,Green,"5,016","4,752",264,5.0
1058,KY,Greenup,"13,613","12,568","1,045",8.0
1059,KY,Hancock,"3,850","3,657",193,5.0
1060,KY,Hardin,"46,634","44,331","2,303",5.0
1061,KY,Harlan,"7,475","6,589",886,12.0
1062,KY,Harrison,"8,398","8,011",387,5.0
1063,KY,Hart,"7,769","7,375",394,5.0
1064,KY,Henderson,"21,208","20,177","1,031",5.0
1065,KY,Henry,"7,599","7,243",356,5.0
1066,KY,Hickman,"2,039","1,921",118,6.0
1067,KY,Hopkins,"19,635","18,538","1,097",6.0
1068,KY,Jackson,"4,323","3,949",374,9.0
1069,KY,Jefferson,"374,488","356,476","18,012",5.0
1070,KY,Jessamine,"25,054","23,999","1,055",4.0
1071,KY,Johnson,"7,629","6,996",633,8.0
1072,KY,Kenton,"82,447","78,780","3,667",4.0
1073,KY,Knott,"4,818","4,337",481,10.0
1074,KY,Knox,"9,772","8,975",797,8.0
1075,KY,Larue,"5,858","5,560",298,5.0
1076,KY,Laurel,"23,480","22,022","1,458",6.0
1077,KY,Lawrence,"5,128","4,653",475,9.0
1078,KY,Lee,"2,072","1,900",172,8.0
1079,KY,Leslie,"2,932","2,612",320,11.0
1080,KY,Letcher,"6,859","6,092",767,11.0
1081,KY,Lewis,"5,054","4,629",425,8.0
1082,KY,Lincoln,"9,011","8,402",609,7.0
1083,KY,Livingston,"3,685","3,420",265,7.0
1084,KY,Logan,"11,682","11,132",550,5.0
1085,KY,Lyon,"2,955","2,790",165,6.0
1086,KY,McCracken,"28,783","27,137","1,646",6.0
1087,KY,McCreary,"4,835","4,441",394,8.0
1088,KY,McLean,"4,214","4,006",208,5.0
1089,KY,Madison,"44,515","42,571","1,944",4.0
1090,KY,Magoffin,"3,509","2,985",524,15.0
1091,KY,Marion,"9,211","8,763",448,5.0
1092,KY,Marshall,"14,846","14,017",829,6.0
1093,KY,Martin,"3,236","2,927",309,10.0
1094,KY,Mason,"7,447","6,998",449,6.0
1095,KY,Meade,"11,795","11,140",655,6.0
1096,KY,Menifee,"2,372","2,169",203,9.0
1097,KY,Mercer,"9,782","9,295",487,5.0
1098,KY,Metcalfe,"4,009","3,800",209,5.0
1099,KY,Monroe,"4,611","4,414",197,4.0
1100,KY,Montgomery,"11,796","11,027",769,7.0
1101,KY,Morgan,"4,497","4,130",367,8.0
1102,KY,Muhlenberg,"11,667","10,833",834,7.0
1103,KY,Nelson,"21,129","20,066","1,063",5.0
