,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
71,IA,Appanoose,12887,9652.739186,7649.977701,1728.156754,0,6228,5920,308,5
72,GA,Appling,18236,16467.86362,14598.18846,2407.189967,0,8673,8040,633,7
73,VA,Appomattox,14973,13974.77833,12384.02661,444.6586282,0,7038,6694,344,5
74,TX,Aransas,23158,21597.58604,18181.88213,3.234965829,0,10051,9543,508,5
75,CO,Arapahoe,572003,389809.4714,133928.4956,1172.568972,4.571325663,334230,321794,12436,4
76,TX,Archer,9054,8199.726662,7352.387685,1466.399302,1.489126681,4119,3937,182,4
77,CO,Archuleta,12084,10857.37327,9054.77631,1163.678058,1.314497187,6010,5767,243,4
78,MI,Arenac,15899,14702.34535,13360.47588,30.11195091,0,6216,5659,557,9
79,AR,Arkansas,19019,15060.56666,8260.609081,2333.131466,0,9487,9092,395,4
80,VA,Arlington,207627,79480.61112,5136.18406,0,0,144282,140217,4065,3
81,PA,Armstrong,68941,55349.03954,45712.47912,61.0083593,0,33025,30832,2193,7
82,TX,Armstrong,1901,1900.999997,1900.999997,1896.207974,201.8993181,975,949,26,3
83,ME,Aroostook,71870,58037.99782,47164.69513,6805.152293,497.4755457,31704,29829,1875,6
84,NE,Arthur,460,460.0000044,460.0000044,460.0000044,456.2348236,224,214,10,5
85,LA,Ascension,107215,97010.99522,70228.12194,0,0,61748,58625,3123,5
86,NC,Ashe,27281,25631.95467,22828.00509,1381.22158,0,12310,11569,741,6
87,OH,Ashland,53139,42687.68263,31958.30381,0,0,25973,24670,1303,5
88,WI,Ashland,16157,13246.63008,9073.481046,4176.469801,291.4238791,7929,7434,495,6
89,AR,Ashley,21853,17825.83061,12761.77754,2666.456939,0,8146,7515,631,8
90,OH,Ashtabula,101497,86682.39772,63877.66618,0,0,44344,41699,2645,6
91,WA,Asotin,21623,14802.40949,5849.085478,568.102525,177.6674561,9679,9212,467,5
92,LA,Assumption,23421,22043.80646,19699.4077,4351.183422,0,9816,9044,772,8
93,TX,Atascosa,44911,40367.6191,32821.88442,3101.989808,24.0624398,20520,19544,976,5
94,KS,Atchison,16924,14659.83468,8524.553862,1449.238001,0,7470,7012,458,6
95,MO,Atchison,5685,4616.01265,2821.475291,297.7280279,0,2834,2707,127,5
96,OH,Athens,64757,57012.14244,40286.18082,2137.009538,0,27908,26172,1736,6
97,GA,Atkinson,8375,7653.515685,6832.723268,1925.072136,0,3866,3644,222,6
98,NJ,Atlantic,274549,223226.7215,153364.9731,713.6533303,0,127902,115665,12237,10
99,OK,Atoka,14182,13057.13808,11826.06432,5911.026462,96.78818288,4862,4546,316,7
100,MS,Attala,19564,17049.47017,12593.68961,1561.578419,0,6985,6453,532,8
101,MO,Audrain,25529,21978.19041,15347.84106,1240.488161,0,11316,10792,524,5
102,IA,Audubon,6119,5814.345749,4300.530877,253.6937591,0,3239,3110,129,4
103,OH,Auglaize,45949,34826.73652,20455.7835,0,0,24452,23553,899,4
104,VA,Augusta,73750,69474.28278,60913.19365,1863.442304,0,36642,35139,1503,4
105,SD,Aurora,2710,2710.000009,2710.000009,2706.276304,2210.881544,1568,1533,35,2
106,TX,Austin,28417,25572.43386,20356.01353,2352.890652,0,14030,13386,644,5
107,AL,Autauga,54571,49228.23074,37255.07037,7176.98147,0,25602,24272,1330,5
108,NC,Avery,17797,16535.50377,14766.23128,0,0,7531,7084,447,6
109,LA,Avoyelles,42073,39163.93955,32935.58034,2026.315218,0,15989,14787,1202,8
110,CO,Baca,3788,2514.587735,1554.008213,955.2245047,297.6801301,1969,1929,40,2
111,GA,Bacon,11096,10161.36529,8146.792887,353.8613069,0,4896,4615,281,6
112,TX,Bailey,7165,5124.393228,2307.116891,465.2306196,10.93338535,2798,2678,120,4
113,FL,Baker,27115,25974.84395,23365.02642,4546.891454,50.1088926,11174,10549,625,6
114,GA,Baker,3451,3451.000003,3451.000003,2651.71372,0,1124,1042,82,7
115,OR,Baker,16134,13477.25353,8685.469134,3915.38745,2110.553775,6672,6222,450,7
116,AL,Baldwin,182265,166758.5654,138070.7997,3265.003813,5.51966776,87705,82843,4862,6
117,GA,Baldwin,45720,40146.77715,29461.53435,61.10302263,0,17750,16391,1359,8
118,KY,Ballard,8249,7746.254402,7373.238878,498.5704928,0,3604,3357,247,7
119,MD,Baltimore,805029,548047,217512,0,0,446382,422797,23585,5
120,MD,Baltimore,805029,548047,217512,0,0,294550,272395,22155,8
121,SC,Bamberg,15987,13854.32535,10060.09025,365.435399,0,5460,4888,572,11
122,TX,Bandera,20485,19490.90089,18031.39043,2576.33096,714.1373244,9171,8807,364,4
123,GA,Banks,18395,18390.95539,18287.83269,1151.995872,0,8222,7764,458,6
124,NE,Banner,690,690.0000065,690.0000065,690.0000065,298.8344791,440,425,15,3
125,ID,Bannock,82839,67179.69764,35788.28334,4805.948772,8.597324137,41861,40167,1694,4
126,MI,Baraga,8860,7198.563271,5726.576271,1320.476202,108.1623684,3291,2991,300,9
